caseKey	pdbId	requestedFamilies	closureStatus	finalStatus
RMDB2PDB:10ZU	10ZU	B	ready	ready
RMDB2PDB:1A60	1A60	B	ready	ready
RMDB2PDB:1H1K	1H1K	A,B	ready	ready
RMDB2PDB:1J1U	1J1U	A,B	ready	ready
RMDB2PDB:1J2B	1J2B	A,B	ready	ready
RMDB2PDB:1RY1	1RY1	B	ready	ready
RMDB2PDB:1VC5	1VC5	A,B	ready	ready
RMDB2PDB:2CZJ	2CZJ	A,B	ready	ready
RMDB2PDB:2IY5	2IY5	A,B	ready	ready
RMDB2PDB:2K95	2K95	A,B	ready	ready
RMDB2PDB:2MXL	2MXL	A	ready	ready
RMDB2PDB:2N1Q	2N1Q	A,B	ready	ready
RMDB2PDB:2NOQ	2NOQ	A,B	ready	ready
RMDB2PDB:2TPK	2TPK	B	ready	ready
RMDB2PDB:3A2K	3A2K	A,B	ready	ready
RMDB2PDB:3AM1	3AM1	A,B	ready	ready
RMDB2PDB:3GOG	3GOG	A,B	ready	ready
RMDB2PDB:3J5Y	3J5Y	A,B	ready	ready
RMDB2PDB:3MOJ	3MOJ	A,B	ready	ready
RMDB2PDB:3NKB	3NKB	A,B	ready	ready
RMDB2PDB:3PDR	3PDR	A,B	ready	ready
RMDB2PDB:3RW6	3RW6	A,B	ready	ready
RMDB2PDB:3W3S	3W3S	A,B	ready	ready
RMDB2PDB:4FEN	4FEN	A,B	ready	ready
RMDB2PDB:4JF2	4JF2	A,B	ready	ready
RMDB2PDB:4JYZ	4JYZ	A,B	ready	ready
RMDB2PDB:4K27	4K27	B	ready	ready
RMDB2PDB:4N0T	4N0T	A,B	ready	ready
RMDB2PDB:4O26	4O26	A,B	ready	ready
RMDB2PDB:4PKD	4PKD	A	ready	ready
RMDB2PDB:4PLX	4PLX	A,B	ready	ready
RMDB2PDB:4QYZ	4QYZ	A,B	ready	ready
RMDB2PDB:4RMO	4RMO	A,B	ready	ready
RMDB2PDB:4RZD	4RZD	B	ready	ready
RMDB2PDB:4TS2	4TS2	A,B	ready	ready
RMDB2PDB:4TZZ	4TZZ	A,B	ready	ready
RMDB2PDB:4UE5	4UE5	A,B	ready	ready
RMDB2PDB:4V2S	4V2S	A	ready	ready
RMDB2PDB:4V4X	4V4X	A,B	ready	ready
RMDB2PDB:4V7M	4V7M	A,B	ready	ready
RMDB2PDB:4V8Q	4V8Q	A,B	ready	ready
RMDB2PDB:4V90	4V90	A,B	ready	ready
RMDB2PDB:4WFL	4WFL	A,B	ready	ready
RMDB2PDB:4WFM	4WFM	A,B	ready	ready
RMDB2PDB:4WJ3	4WJ3	A,B	ready	ready
RMDB2PDB:5AJ4	5AJ4	A,B	ready	ready
RMDB2PDB:5DCV	5DCV	A,B	ready	ready
RMDB2PDB:5FLX	5FLX	A,B	ready	ready
RMDB2PDB:5KH8	5KH8	A	ready	ready
RMDB2PDB:5KPY	5KPY	A,B	ready	ready
RMDB2PDB:5ML7	5ML7	A,B	ready	ready
RMDB2PDB:5MYJ	5MYJ	A,B	ready	ready
RMDB2PDB:5NCO	5NCO	A,B	ready	ready
RMDB2PDB:5TC1	5TC1	A,B	ready	ready
RMDB2PDB:5TPY	5TPY	A,B	ready	ready
RMDB2PDB:5V3I	5V3I	A,B	ready	ready
RMDB2PDB:5W4K	5W4K	A,B	ready	ready
RMDB2PDB:5X8P	5X8P	A,B	ready	ready
RMDB2PDB:5Y36	5Y36	A,B	ready	ready
RMDB2PDB:6AAY	6AAY	A	ready	ready
RMDB2PDB:6AH3	6AH3	A,B	ready	ready
RMDB2PDB:6B14	6B14	B	ready	ready
RMDB2PDB:6CB3	6CB3	A,B	ready	ready
RMDB2PDB:6CU1	6CU1	A,B	ready	ready
RMDB2PDB:6DLR	6DLR	A,B	ready	ready
RMDB2PDB:6DTD	6DTD	A	ready	ready
RMDB2PDB:6DVK	6DVK	A,B	ready	ready
RMDB2PDB:6E9F	6E9F	B	ready	ready
RMDB2PDB:6JDV	6JDV	A,B	ready	ready
